           0  -1.231658   0.000  0.000  0.000   7  7 2.000000
      100000  -1.188673   0.129  0.331  0.000   7  6 2.000000
      200000  -1.279413   0.126  0.325  0.000  10  5 61.600000
      300000  -1.294687   0.125  0.324  0.000  10  5 61.600000
      400000  -1.180409   0.124  0.322  0.000  10  5 61.600000
      500000  -1.114578   0.124  0.323  0.000  10  5 61.600000
      600000  -1.339312   0.124  0.323  0.000   9  6 14.300000
      700000  -1.264739   0.123  0.323  0.000   9  6 14.300000
      800000  -1.248120   0.124  0.324  0.000  10  4 61.600000
      900000  -1.247179   0.125  0.324  0.000  10  4 61.600000
     1000000  -1.284991   0.125  0.324  0.000  11  4 248.100000
     1100000  -1.119388   0.125  0.323  0.000  10  4 61.600000
     1200000  -1.226564   0.126  0.323  0.000   9  5 14.300000
     1300000  -1.291374   0.125  0.323  0.000   9  6 14.300000
     1400000  -1.245504   0.124  0.323  0.000   8  6 3.100000
     1500000  -1.190689   0.124  0.323  0.000   9  6 14.300000
     1600000  -1.281683   0.124  0.323  0.000   9  6 14.300000
     1700000  -1.241134   0.124  0.323  0.000   8  6 3.100000
     1800000  -1.143032   0.124  0.324  0.000   8  6 3.100000
     1900000  -1.270761   0.124  0.324  0.000   9  6 14.300000
     2000000  -1.268530   0.122  0.323  0.000   9  6 14.300000
     2100000  -1.200573   0.122  0.323  0.000   9  6 14.300000
     2200000  -1.177613   0.122  0.323  0.000   9  5 14.300000
     2300000  -1.285532   0.123  0.323  0.000   7  7 2.000000
     2400000  -1.179124   0.123  0.323  0.000  10  5 61.600000
     2500000  -1.157325   0.123  0.323  0.000   9  4 14.300000
     2600000  -1.188477   0.123  0.323  0.000  11  4 248.100000
     2700000  -1.180152   0.123  0.324  0.000   6  7 2.100000
     2800000  -1.265216   0.123  0.324  0.000   9  5 14.300000
     2900000  -1.295255   0.124  0.324  0.000  10  5 61.600000
     3000000  -1.110733   0.124  0.324  0.000  10  4 61.600000
     3100000  -1.250451   0.124  0.324  0.000  11  4 248.100000
     3200000  -1.297081   0.124  0.324  0.000   9  4 14.300000
     3300000  -1.201808   0.124  0.323  0.000  11  4 248.100000
     3400000  -1.271777   0.124  0.323  0.000  11  2 248.100000
     3500000  -1.225857   0.124  0.323  0.000  11  3 248.100000
     3600000  -1.234443   0.124  0.323  0.000  10  4 61.600000
     3700000  -1.247459   0.123  0.322  0.000  11  4 248.100000
     3800000  -1.209418   0.123  0.322  0.000  11  3 248.100000
