           0  -1.247879   0.000  0.000  0.000   7  7 106.200000
      100000  -1.294830   0.128  0.325  0.000  10  5 191.100000
      200000  -1.191452   0.117  0.318  0.000  10  5 191.100000
      300000  -1.336796   0.114  0.314  0.000  10  5 191.100000
      400000  -1.200799   0.114  0.315  0.000  10  4 191.100000
      500000  -1.196604   0.118  0.317  0.000   8  6 168.300000
      600000  -1.208925   0.120  0.318  0.000   8  4 168.300000
      700000  -1.167184   0.121  0.318  0.000  11  4 248.100000
      800000  -1.200581   0.122  0.319  0.000  11  4 248.100000
      900000  -1.251551   0.122  0.318  0.000  11  4 248.100000
     1000000  -1.223363   0.122  0.317  0.000   9  4 137.800000
     1100000  -1.222520   0.122  0.317  0.000  11  4 248.100000
     1200000  -1.227324   0.123  0.317  0.000  10  4 191.100000
     1300000  -1.213286   0.123  0.318  0.000  10  3 191.100000
     1400000  -1.202075   0.122  0.318  0.000   9  4 137.800000
     1500000  -1.162098   0.122  0.317  0.000  10  4 191.100000
     1600000  -1.231424   0.122  0.317  0.000  11  4 248.100000
     1700000  -1.295337   0.121  0.317  0.000  11  3 248.100000
     1800000  -1.208288   0.121  0.316  0.000   9  4 137.800000
     1900000  -1.306803   0.121  0.316  0.000  11  4 248.100000
     2000000  -1.236827   0.120  0.316  0.000  10  4 191.100000
     2100000  -1.193858   0.120  0.316  0.000  11  3 248.100000
     2200000  -1.152162   0.120  0.315  0.000  11  3 248.100000
     2300000  -1.259046   0.120  0.315  0.000  10  4 191.100000
     2400000  -1.255443   0.120  0.315  0.000  11  4 248.100000
     2500000  -1.266390   0.119  0.315  0.000  11  3 248.100000
     2600000  -1.297074   0.119  0.314  0.000  11  4 248.100000
     2700000  -1.271522   0.118  0.314  0.000  11  4 248.100000
     2800000  -1.251320   0.118  0.314  0.000  11  4 248.100000
     2900000  -1.160421   0.119  0.314  0.000  11  4 248.100000
     3000000  -1.173624   0.119  0.314  0.000  10  5 191.100000
     3100000  -1.340740   0.119  0.314  0.000  10  5 191.100000
     3200000  -1.263536   0.119  0.314  0.000  10  5 191.100000
     3300000  -1.281224   0.119  0.314  0.000  11  4 248.100000
     3400000  -1.286656   0.119  0.314  0.000  11  4 248.100000
     3500000  -1.208116   0.119  0.314  0.000  11  4 248.100000
     3600000  -1.272523   0.119  0.314  0.000  10  4 191.100000
     3700000  -1.122742   0.119  0.314  0.000  11  3 248.100000
     3800000  -1.217708   0.119  0.315  0.000  10  5 191.100000
     3900000  -1.185099   0.119  0.315  0.000  10  4 191.100000
     4000000  -1.253408   0.119  0.314  0.000   9  4 137.800000
     4100000  -1.279288   0.119  0.314  0.000  10  5 191.100000
     4200000  -1.213102   0.119  0.314  0.000  10  5 191.100000
     4300000  -1.296320   0.119  0.314  0.000  10  5 191.100000
     4400000  -1.368768   0.118  0.314  0.000  10  5 191.100000
     4500000  -1.254685   0.119  0.314  0.000  10  5 191.100000
     4600000  -1.291131   0.118  0.315  0.000  10  5 191.100000
     4700000  -1.278848   0.118  0.315  0.000  10  5 191.100000
     4800000  -1.256202   0.119  0.315  0.000  10  5 191.100000
     4900000  -1.285110   0.118  0.315  0.000  10  5 191.100000
     5000000  -1.298640   0.118  0.315  0.000  10  5 191.100000
     5100000  -1.229704   0.118  0.315  0.000   9  5 137.800000
     5200000  -1.216903   0.118  0.315  0.000  10  5 191.100000
     5300000  -1.104526   0.118  0.315  0.000   8  4 168.300000
